Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Abiotrophia_defectiva,data2 - HMDB0001119,85,45,-0.0975510260173778,-0.306008384493453,0.208457358476075,0.250009437827259,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0015240,85,45,-0.110054319910752,-0.386991941864384,0.276937621953632,0.11659964219719,g2-
data1 - s__Abiotrophia_defectiva,data2 - HMDB0060426,85,45,0.353447607199764,0.0571063107428866,0.296341296456878,0.0998909021231162,g1+
data1 - s__Abiotrophia_defectiva,data2 - HMDB0241748,85,45,0.0672126600913152,0.311455276255092,0.244242616163777,0.179256122655213,g2+
data1 - s__Abiotrophia_defectiva,data2 - HMDB0302405,85,45,-0.0909938896139663,-0.381579115498199,0.290585225884233,0.101584961468965,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0001442,94,47,-0.116607694885564,-0.358041000879895,0.241433305994331,0.160815575352604,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0003040,94,47,0.0460851954924527,0.321508608375703,0.27542341288325,0.117780133866035,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0006048,94,47,0.0958758831685017,0.343025199751493,0.247149316582992,0.154649838995573,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0010397,94,47,0.106167353480852,0.352774757983904,0.246607404503052,0.153556719233219,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0015240,94,47,-0.114202817065838,-0.352441425642603,0.238238608576765,0.167368806860753,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0031810,94,47,-0.062118600267946,-0.305888675409727,0.243770075141781,0.166901636653739,g2-
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0059611,94,47,0.0977001836049304,0.348052984521675,0.250352800916745,0.148636950371407,g2+
data1 - s__Abiotrophia_sp._HMSC24B09,data2 - HMDB0253472,94,47,-0.0143100189223104,-0.302403822608522,0.288093803686211,0.104779184109356,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0003040,136,73,-0.0177391840027619,-0.372604723048986,0.354865539046224,0.0113810401040353,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0011759,136,73,0.00614789363973322,0.314878929671618,0.308731036031884,0.030329291109894,g2+
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0042008,136,73,0.0316549016220393,-0.308072489968659,0.339727391590699,0.017749887639384,g2-
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0251574,136,73,0.107280279481658,0.300993020150663,0.193712740669005,0.169385293440934,g2+
data1 - s__Actinomyces_bouchesdurhonensis,data2 - HMDB0256665,136,73,0.0914937197451312,0.328855591027145,0.237361871282014,0.0907136960947461,g2+
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0003040,137,71,-0.0602449409133093,-0.34116313795433,0.280918197041021,0.0474881996991203,g2-
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0013625,137,71,0.165937005232098,0.301902374107515,0.135965368875417,0.333047314355033,g2+
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0246913,137,71,0.0659488709968347,0.371495854675983,0.305546983679148,0.0294922910581812,g2+
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0248927,137,71,-0.0293490398652547,-0.305643678417151,0.276294638551896,0.0544311690551336,g2-
data1 - s__Actinomyces_graevenitzii,data2 - HMDB0341367,137,71,0.0470464718554088,-0.339857751646015,0.386904223501424,0.00707422478692843,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0006012,129,67,0.0276074630990614,-0.32283768652359,0.350445149622651,0.0182198327206256,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0012884,129,67,0.152239700139111,-0.317202095706208,0.46944179584532,0.00169011036796718,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0034034,129,67,0.0548113172742191,-0.329632116897204,0.384443434171423,0.00964801660135373,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0060289,129,67,0.111440361924165,-0.319872145634075,0.43131250755824,0.00386827026839076,g2-
data1 - s__Actinomyces_naeslundii,data2 - HMDB0241076,129,67,0.0227559857035629,0.309504292127906,0.286748306424343,0.0528151752108477,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0241225,129,67,-0.064749772838588,0.392790391490515,0.457540164329103,0.00176800519432208,g2+
data1 - s__Actinomyces_naeslundii,data2 - HMDB0301804,129,67,-0.309874247857148,-0.12723631697984,0.182637930877309,0.209864153095073,g1-
data1 - s__Actinomyces_oris,data2 - HMDB0006012,134,75,0.0471882859647665,-0.345723344398745,0.392911630363512,0.00544038051590001,g2-
