r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
Taurocholic acid:s__Phocaeicola_vulgatus	-0.114436805922792	-0.166738816738817	0.195867208672087	0.432661290322581	0.12032380952381
Glycocholic acid:s__Bacteroides_stercoris	0.16031560490941	-0.27683257918552	0.428624007571376	0.398029556650246	0.218344680851064
Glycocholic acid:s__Phocaeicola_vulgatus	-0.107191961924907	-0.251948051948052	0.177258355916893	0.280645161290323	0.227657692307692
Taurocholic acid:s__Prevotella_sp._Marseille_P4119	-0.116376306620209	0.102090592334495	0.226053113553114	0.343732895457033	0.3103
Taurocholic acid:s__Bacteroides_thetaiotaomicron	-0.018455843469064	-0.0415255603934849	0.357905252642095	0.317741935483871	0.335048
Glycocholic acid:s__Bacteroides_fragilis	-0.109095716552089	-0.286944634313055	0.151411879259981	0.1875	0.338124137931034
Glycocholic acid:s__Bacteroides_thetaiotaomicron	-0.00523532522474881	-0.144089662957587	0.312056364687944	0.252016129032258	0.338124137931034
27-Norcholestanehexol:s__Anaerotardibacter_sp._CLA_AA_M13	-0.0968975468975469	-0.21044992743106	-0.284242073715758	-0.425806451612903	0.363465384615385
Taurocholic acid:s__Bacteroides_stercoris	0.202513150204559	-0.0695927601809955	0.398732846101267	0.380295566502463	0.402183928571429
27-Norcholestanehexol:s__Clostridium_sp._AM42_36	-0.0741023682200153	0.211711711711712	0.258211572180012	-0.205217391304348	0.4563584
Taurocholic acid:s__Phocaeicola_massiliensis	-0.0377236193933109	0.00725689404934688	0.225661450924609	0.250246305418719	0.502933333333333
Deoxycholic acid:s__Blautia_faecis	0.0707033315705976	0.0562542720437457	-0.192118337850045	-0.0649193548387097	0.648345333333333
Glycohyodeoxycholic acid:s__Bacteroides_stercoris	0.200818234950321	-0.17710407239819	0.271333929228666	0.190147783251232	0.663915032679739
Chenodeoxycholic acid:s__Flavonifractor_plautii	0.324114225277631	0.152426520847573	0.140085817524842	0.233870967741935	0.792042774566474
27-Norcholestanehexol:s__Clostridium_spiroforme	-0.297703406471442	-0.0766326530612245	-0.147899159663866	-0.171538461538462	0.813523595505618
7-Sulfocholic acid:s__Slackia_isoflavoniconvertens	0.051198129748685	-0.124401913875598	-0.117208672086721	0.0528225806451613	0.844900534759358
27-Norcholestanehexol:s__Slackia_isoflavoniconvertens	-0.00333138515488019	-0.178605604921394	-0.14622854561879	-0.0471774193548387	0.854376595744681
Chenodeoxycholic acid:s__Ruthenibacterium_lactatiformans	0.36795346377578	0.31825017088175	0.253184281842818	0.418548387096774	0.875470833333333
7-Sulfocholic acid:s__Blautia_massiliensis	-0.0994165045846068	-0.118455228981545	-0.218089430894309	-0.05	0.905822335025381
