,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Collinsella_aerofaciens,0.171,0.257,0.157,0.1
s__Blautia_wexlerae,0.241,0.5,0.823,0.731
s__Faecalibacterium_prausnitzii,1,0.368,0.605,0.444
s__Prevotella_copri,0.166,0.054,0.159,0.744
s__Catenibacterium_mitsuokai,0.034,0.084,0.223,0.33
s__Dorea_longicatena,1,0.467,0.409,0.759
s__Mediterraneibacter_faecis,0.255,0.229,0.132,0.527
s__Fusicatenibacter_saccharivorans,1,0.271,0.823,0.148
s__Holdemanella_biformis,0,0.092,0.226,0.333
s__Ruminococcus_bromii,1,0.237,0.46,0.224
s__Blautia_obeum,0.031,0.024,0.194,0.397
s__Extibacter_muris,1,0.628,0.902,0.306
s__Gemmiger_formicilis,0.378,0.286,0.208,0.018
s__Holdemanella_porci,0.013,0.064,0.027,0.083
s__Bifidobacterium_adolescentis,0.192,0.348,0.422,0.659
s__Blautia_massiliensis,0.464,0.564,0.267,0.522
s__Coprococcus_comes,1,0.701,0.518,1
s__Anaerobutyricum_hallii,0.126,0.167,0.269,1
s__Anaerostipes_hadrus,0.427,0.437,0.296,0.282
s__Dorea_formicigenerans,1,0.313,0.146,0.335
s__Roseburia_faecis,0.38,0.845,0.796,0.514
s__Subdoligranulum_sp._APC924_74,0.345,1,0.912,0.023
s__Methanobrevibacter_smithii,1,1,0.153,1
s__Oliverpabstia_intestinalis,0.199,0.109,0.168,0.864
s__Bifidobacterium_longum,0.372,0.26,0.382,0
s__Phocaeicola_vulgatus,0.015,0.14,0.241,0.14
s__Mogibacterium_kristiansenii,0.097,0.513,0.617,0.269
s__Cyclospora_cayetanensis,0.437,0.189,0.517,1
s__Eubacterium_coprostanoligenes,0.308,0.238,0.823,0.703
s__Roseburia_inulinivorans,0.139,0.03,0.767,0.752
s__Ruminococcus_torques,1,1,0.917,1
s__Ruminococcus_callidus,0.046,0.324,0.088,0.735
s__Paratractidigestivibacter_faecalis,0.131,0.055,0.169,0.505
s__Bifidobacterium_catenulatum,1,1,0.053,0.233
s__Blautia_faecis,0.078,0.495,0.774,1
s__Blautia_glucerasea,1,0.365,0.626,0.576
s__Blautia_luti,1,0.527,0.677,0.839
s__Slackia_isoflavoniconvertens,0.207,0.409,0.01,0.004
s__Romboutsia_timonensis,1,0.098,0.012,0.045
s__Blautia_faecicola,1,0.512,0.224,0.412
s__Bacteroides_uniformis,1,0.785,0.1,0.075
s__Ruminococcus_gnavus,1,0.581,0.636,0.273
s__Anaerobutyricum_soehngenii,0.135,0.343,0.047,0.313
s__Oscillibacter_sp._ER4,0.002,0.002,0.096,0.62
s__Prevotella_stercorea,0.123,0.02,0.569,0.545
s__Prevotella_hominis,1,0.019,0.102,1
s__Roseburia_intestinalis,1,0.8,0.507,0.225
s__Ellagibacter_isourolithinifaciens,1,1,0.08,0.051
s__Coprococcus_eutactus,0.009,0.119,0.354,0.233
s__Akkermansia_muciniphila,1,1,0.855,0.727
s__Blautia_sp._BIOML_A1,1,0.448,0.923,0.838
s__Vescimonas_coprocola,0.057,0.026,0.202,0.597
s__Eubacterium_ramulus,0.455,0.458,0.726,0.766
s__Faecalibacterium_sp._HTFF,1,0.669,0.806,0.443
s__Coprococcus_catus,0.342,0.195,0.143,1
s__Evtepia_gabavorous,1,0.334,0.945,1
s__Dialister_succinatiphilus,1,1,1,1
s__Blautia_stercoris,0.101,0.505,0.372,0.47
s__Lentihominibacter_faecis,0.425,0.743,0.161,1
s__Parolsenella_catena,1,0.699,0.031,0.681
s__Senegalimassilia_anaerobia,0.069,0.087,0.351,0.177
s__Collinsella_bouchesdurhonensis,1,0.698,0.274,0.07
s__Escherichia_coli,0.141,0.15,0.167,0.637
s__Lachnospira_eligens,0.385,0.814,0.693,0.62
s__Anthropogastromicrobium_aceti,0.415,0.156,0.48,0.614
s__Ruminococcus_bicirculans,0.405,1,0.329,0.721
s__Veillonella_parvula,0.3,0.703,0.193,0.719
s__Ruminococcus_flavefaciens,0.082,0.052,0.165,0.661
s__Prevotella_sp._885,1,0.043,0.166,0.405
s__Phascolarctobacterium_succinatutens,0.007,0.001,0.284,0.761
s__Oscillibacter_valericigenes,1,0.441,0.54,0.465
s__Lachnoclostridium_sp._210928_DFI_6_3,1,0.405,0.565,0.605
s__Ruminococcus_lactaris,1,0.396,0.915,0.219
