,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Collinsella_aerofaciens,0.064,0.249,0.07,0.231
s__Blautia_wexlerae,0.439,0.76,0.637,0.724
s__Faecalibacterium_prausnitzii,0.421,0.177,0.902,0.287
s__Prevotella_copri,0.075,0.044,0.447,0.729
s__Catenibacterium_mitsuokai,0.018,0.119,0.18,0.323
s__Dorea_longicatena,1,0.58,0.493,0.719
s__Mediterraneibacter_faecis,0.079,0.301,0.125,0.139
s__Fusicatenibacter_saccharivorans,1,0.281,0.906,0.189
s__Holdemanella_biformis,0,0.099,0.126,0.794
s__Ruminococcus_bromii,1,0.198,0.417,0.199
s__Blautia_obeum,0.057,0.022,0.239,0.349
s__Extibacter_muris,1,0.797,0.889,0.289
s__Gemmiger_formicilis,0.173,0.251,0.303,0.017
s__Holdemanella_porci,0.021,0.08,0.034,0.163
s__Bifidobacterium_adolescentis,0.185,0.251,0.732,1
s__Blautia_massiliensis,0.425,0.821,0.265,0.504
s__Coprococcus_comes,1,0.648,0.436,1
s__Anaerobutyricum_hallii,0.117,0.296,0.307,0.831
s__Anaerostipes_hadrus,1,0.48,0.274,0.268
s__Dorea_formicigenerans,1,0.36,0.197,0.33
s__Roseburia_faecis,1,0.812,0.594,0.412
s__Subdoligranulum_sp._APC924_74,0.339,0.773,0.767,0.019
s__Methanobrevibacter_smithii,1,1,0.139,1
s__Oliverpabstia_intestinalis,0.198,0.156,0.234,0.847
s__Bifidobacterium_longum,0.146,0.288,0.366,0.005
s__Phocaeicola_vulgatus,0.004,0.055,0.764,0.193
s__Mogibacterium_kristiansenii,1,0.205,0.596,0.252
s__Cyclospora_cayetanensis,0.396,0.327,0.506,0.834
s__Eubacterium_coprostanoligenes,1,0.355,1,0.68
s__Roseburia_inulinivorans,0.131,0.021,0.462,0.722
s__Ruminococcus_torques,1,1,0.922,0.844
s__Ruminococcus_callidus,0.024,0.363,0.076,0.476
s__Paratractidigestivibacter_faecalis,0.059,0.058,0.287,1
s__Bifidobacterium_catenulatum,1,1,0.141,0.213
s__Blautia_faecis,0.067,0.273,0.772,0.838
s__Blautia_glucerasea,1,0.359,0.902,0.826
s__Blautia_luti,1,0.514,0.652,0.836
s__Slackia_isoflavoniconvertens,0.423,0.499,0.01,0.009
s__Romboutsia_timonensis,0.258,0.086,0.032,0.024
s__Blautia_faecicola,0.352,0.559,0.211,0.509
s__Bacteroides_uniformis,0.354,0.639,0.077,0.029
s__Ruminococcus_gnavus,1,1,0.601,1
s__Anaerobutyricum_soehngenii,0.116,0.313,0.083,0.287
