,species_SC,go_SC,mtb_SC,plasma_mtb_SC,species2_SC
s__Streptococcus_mitis,1,0.516,1,0.514,1
s__Streptococcus_salivarius,1,0.596,0.57,0.777,1
s__Streptococcus_parasanguinis,0.257,0.884,0.562,0.815,0.391
s__Streptococcus_oralis,1,0.216,0.568,0.566,1
s__Rothia_mucilaginosa,0.039,0.875,0.559,0.557,0.374
s__Neisseria_mucosa,1,0.632,1,0.508,1
s__Haemophilus_parainfluenzae,0.084,0.038,0.179,0.595,0.137
s__Neisseria_sicca,1,1,0.54,0.313,1
s__Streptococcus_infantis,0.249,1,0.31,0.696,1
s__Schaalia_odontolytica,0.069,1,0.393,0.447,0.153
s__Prevotella_melaninogenica,0.243,0.102,0.06,0.039,1
s__Actinomyces_sp._ICM47,0.245,0.635,0.563,0.799,1
s__Gemella_haemolysans,1,1,1,1,1
s__Streptococcus_sanguinis,1,1,0.18,0.665,1
s__Actinomyces_graevenitzii,1,0.647,0.57,0.593,1
s__Streptococcus_pseudopneumoniae,0.066,0.611,1,0.273,0.363
s__Streptococcus_sp._263_SSPC,1,1,1,0.477,0.338
s__Veillonella_atypica,0.289,0.312,0.574,0.803,0.151
s__Haemophilus_parahaemolyticus,1,0.354,1,0.056,1
s__Prevotella_histicola,1,0.74,1,0.732,0.34
s__Streptococcus_cristatus,1,0.867,0.584,0.481,0.346
s__Streptococcus_pneumoniae,1,0.388,0.553,0.489,1
s__Neisseria_subflava,1,0.823,0.379,0.177,1
s__Streptococcus_australis,0.278,0.678,1,0.827,1
s__Veillonella_dispar,0.144,0.049,1,0.805,0.361
s__Gemella_sanguinis,1,0.256,1,0.63,0.358
s__Haemophilus_haemolyticus,1,0.433,0.099,0.148,0.062
s__Streptococcus_sp._oral_taxon_431,0.112,0.774,0.585,0.177,1
s__Streptococcus_rubneri,1,0.761,1,1,1
s__Streptococcus_vestibularis,0.234,0.083,0.548,0.881,0.339
s__Streptococcus_sp._M334,1,0.832,1,0.875,0.358
s__Prevotella_pallens,1,0.462,0.047,0.011,0.131
s__Lancefieldella_parvula,0.013,1,1,0.151,0.264
s__Prevotella_jejuni,1,0.647,0.191,0.421,1
s__Streptococcus_gordonii,1,0.876,0.191,0.869,0.407
s__Granulicatella_adiacens,1,0.518,0.4,0.777,0.384
s__Actinomyces_bouchesdurhonensis,1,0.776,1,0.273,1
s__Veillonella_parvula,0.307,0.782,1,0.596,0.148
s__Rothia_sp._P3C3_S176,0.032,0.37,0.075,0.57,0.328
s__Veillonella_rogosae,1,0.064,1,0.095,1
s__Actinomyces_oris,1,0.525,1,0.299,0.349
s__Haemophilus_sputorum,1,0.756,0.563,0.748,1
s__Rothia_sp._HMSC065C12,0.02,0.193,0.118,0.374,1
s__Streptococcus_sp._HSISS2,1,0.798,1,0.852,1
s__Rothia_dentocariosa,0.017,0.536,1,0.858,1
s__Streptococcus_timonensis,1,1,1,0.801,0.124
s__Lautropia_mirabilis,1,1,0.373,0.263,0.209
s__Streptococcus_sp._HMSC067H01,1,0.698,1,1,0.388
s__Streptococcus_sp._Marseille_Q3533,1,0.734,1,0.772,1
s__Rothia_sp._HMSC072B04,0.085,0.337,0.096,0.288,0.334
s__Veillonella_tobetsuensis,1,1,0.564,1,1
s__Alloprevotella_tannerae,1,0.483,1,0.103,1
s__Neisseria_sp._HMSC071A01,1,0.537,1,0.711,1
s__Megasphaera_micronuciformis,1,1,0.288,0.401,0.023
s__Neisseria_meningitidis,1,0.564,1,0.759,1
s__Alloprevotella_sp._oral_taxon_473,1,0.096,0.12,0.21,1
