Taxa	name	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign
s__Schaalia_odontolytica	s__Anaerobutyricum_hallii	140	76	-0.086	0.482	0.567	2.49068042208478e-05	Pre-HIV+
s__Actinomyces_sp._S6_Spd3	s__Anaerobutyricum_hallii	97	61	-0.127	0.499	0.626	5.25372728337192e-05	Pre-HIV+
s__Streptococcus_vestibularis	s__Faecalicatena_fissicatena	143	78	-0.183	0.342	0.525	0.000153730318370515	Pre-HIV+
s__Streptococcus_parasanguinis	s__Bifidobacterium_longum	136	75	-0.161	0.369	0.53	0.000173321692868322	Pre-HIV+
s__Streptococcus_sp._263_SSPC	s__Blautia_sp._MCC283	141	77	-0.081	0.43	0.511	0.000174627476351441	Pre-HIV+
s__Haemophilus_influenzae	s__Butyrivibrio_crossotus	135	75	-0.118	0.405	0.522	0.000186266920727096	Pre-HIV+
s__Granulicatella_sp._HMSC30F09	s__Ruminococcus_lactaris	137	71	-0.184	0.324	0.508	0.000458107048557199	Pre-HIV+
s__Porphyromonas_bobii	s__Phocaeicola_vulgatus	101	55	0.326	-0.256	0.582	0.000468840257926262	Non-HIV+
s__Streptococcus_sp._SK140	s__Bifidobacterium_catenulatum	86	53	-0.199	0.391	0.59	0.000590795511943298	Pre-HIV+
s__Streptococcus_sp._A12	s__Roseburia_sp._BX1005	135	73	0.128	-0.361	0.489	0.000603288437260652	Pre-HIV-
s__Porphyromonas_bobii	s__Jingyaoa_shaoxingensis	102	55	-0.203	0.362	0.565	0.000640427910257868	Pre-HIV+
s__Veillonella_parvula	s__Ruminococcus_sp._BSD2780120874_150323_B10	126	67	0.153	-0.353	0.506	0.000688917485879292	Pre-HIV-
s__Prevotella_pallens	s__Parolsenella_catena	107	66	0.174	-0.348	0.522	0.000741967954827727	Pre-HIV-
s__Prevotella_pallens	s__Senegalimassilia_faecalis	115	68	0.093	-0.406	0.5	0.000760905015436686	Pre-HIV-
s__Granulicatella_adiacens	s__Anaerostipes_hadrus	141	76	-0.098	0.369	0.467	0.000791771704778954	Pre-HIV+
s__Gemella_sanguinis	s__Eubacterium_sp._AF22_8LB	104	69	-0.211	0.305	0.516	0.000828100980872826	Pre-HIV+
