Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Veillonella_sp._CLA_AA_H247	GO:0003941	L-serine ammonia-lyase activity	134	73	-0.062	0.509	0.572	2.48737187418246e-05	Pre-HIV+	MF	Catalysis of the reaction: L-serine = pyruvate + NH3.
s__Streptococcus_sp._XMC	GO:0001000	bacterial-type RNA polymerase core enzyme binding	126	65	-0.431	0.182	0.614	3.36119527444279e-05	Non-HIV-	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Streptococcus_sp._343_SSPC	GO:0001000	bacterial-type RNA polymerase core enzyme binding	123	63	-0.358	0.257	0.615	5.5704116287858e-05	Non-HIV-	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Streptococcus_vestibularis	GO:0009030	thiamine-phosphate kinase activity	139	77	-0.446	0.099	0.545	6.2016786498198e-05	Non-HIV-	MF	Catalysis of the reaction: ATP + thiamine phosphate = ADP + H(+) + thiamine diphosphate.
s__Streptococcus_sp._HMSC034E03	GO:0034755	iron ion transmembrane transport	143	77	0.459	-0.078	0.537	6.56490328703185e-05	Non-HIV+	BP	A process in which an iron ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.
s__Streptococcus_sp._HMSC034E03	GO:0005381	iron ion transmembrane transporter activity	143	77	0.459	-0.078	0.537	6.56490328705406e-05	Non-HIV+	MF	Enables the transfer of iron (Fe) ions from one side of a membrane to the other.
s__Streptococcus_sp._HMSC034E03	GO:0033573	high-affinity iron permease complex	143	77	0.459	-0.078	0.537	6.56490328705406e-05	Non-HIV+	CC	A protein complex composed of a multicopper ferroxidase that oxidizes Fe(II) to Fe(III), and a ferric iron permease that transports the produced Fe(III) into the cell. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.
s__Streptococcus_sp._SK140	GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	126	68	0.077	0.594	0.517	7.6795075604208e-05	Pre-HIV+	MF	Catalysis of the reaction: (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD(+) = 2,3-dihydroxybenzoate + H(+) + NADH.
s__Veillonella_dispar	GO:0008649	rRNA methyltransferase activity	143	77	-0.24	0.304	0.544	0.000101046583598219	Pre-HIV+	MF	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a nucleoside residue in an rRNA molecule.
s__Streptococcus_salivarius	GO:0004831	tyrosine-tRNA ligase activity	145	78	0.581	0.109	0.472	0.000102534589128789	Non-HIV+	MF	Catalysis of the reaction: L-tyrosine + ATP + tRNA(Tyr) = L-tyrosyl-tRNA(Tyr) + AMP + diphosphate + 2 H(+).
