"","Coprococcus [Genus]","Anaerostipes [Genus]","Coprococcus catus","Ruminococcus [Genus]","Ruminococcaceae [Family]","Clostridiales [Order]","Clostridium [Genus]","Oscillospira [Genus]","Lachnospiraceae [Family]","Ruminococcus bicirculans","Ruminococcus callidus","Ruminococcus bromii","Faecalibacterium prausnitzii","Faecalibacterium [Genus]","Methanobrevibacter [Genus]","Butyricicoccus pullicaecorum","Christensenellaceae [Family]","Klebsiella pneumoniae","Escherichia coli","Haemophilus parainfluenzae","Bilophila [Genus]","Desulfovibrio [Genus]","Actinomyces odontolyticus","Bifidobacterium [Genus]","Bifidobacterium longum","Akkermansia muciniphila","Bacteroides [Genus]","Bacteroides vulgatus","Bacteroides ovatus","Bacteroides uniformis","Prevotella [Genus]","Prevotella copri","Prevotella stercorea","Parabacteroides [Genus]","Parabacteroides distasonis","Rikenellaceae [Family]","Butyricimonas [Genus]","S24-7 [Family]","Turicibacter [Genus]","Phascolarctobacterium [Genus]","Coriobacteriaceae [Family]","Collinsella aerofaciens","Senegalimassilia anaerobia","SMB53 [Genus]","[Mogibacteriaceae] [Family]","Mogibacterium [Genus]","Streptococcus thermophilus","[Eubacterium] biforme","Erysipelotrichaceae [Family]","Catenibacterium mitsuokai","Ralstonia solanacearum","Blautia [Genus]","Blautia wexlerae","Blautia obeum","Lachnospira [Genus]","Blautia hominis","Roseburia [Genus]","Roseburia faecis","Dorea [Genus]","[Ruminococcus] [Genus]","Fusicatenibacter saccharivorans","Dorea formicigenerans","Coprococcus eutactus","Dorea longicatena","Anaerostipes hadrus"
"Coprococcus [Genus]",0,0.313057801534397,-0.264627852399695,0.0823748648139206,-0.0764049979662811,-0.256791350172079,0.183150351994003,-0.0401008123177303,0.202016016420991,-0.0394857375511273,0.30951282132641,-0.083697398036234,-0.155507830598636,0.16213512379727,-0.0673729252305603,0.201690560929951,-0.122266983372392,-0.0349931022863101,-0.098238482350896,-0.102526712088968,-0.0489822536402386,-0.0272544699244347,-0.329242378028004,0.220248516895656,0.0463914285493691,0.0776494066152445,-0.267820760035295,-0.0814876323367086,-0.101048885508502,0.0499107944761562,-0.0312220888255011,0.00183734122468587,0.261792474705821,-0.292037188981902,-0.128569088568592,-0.0814130915442969,-0.144038380635711,-0.270956775354485,-0.334470865719,0.118880371032625,-0.18043679616179,-0.191719619704942,-0.00774864239638845,-0.233950346149463,0.101536853806262,-0.0372413940742566,-0.0992090456310687,0.235750276422283,0.174669879025597,0.431911097294012,-0.336415553892693,0.0820275055777827,0.120269108283221,0.273294397601848,0.0730003225246224,0.249876290391948,-0.0109306710072139,0.578947843493728,-0.000699527585259541,-0.217725549380097,-0.0515102565974904,0.247786306412235,0.116358415688724,0.125733847034264,-0.135880300426963
"Anaerostipes [Genus]",0.313057801534397,0,0.10611072487012,0.274619721714175,0.245092088663335,0.238555055760243,-0.093055380789344,0.260571003373838,0.162998954362022,0.212673409652044,1.19983258330811,0.449909174866408,0.609678484879457,0.190512351193163,-0.2705840339463,0.112734487179195,-0.263722840704765,0.648449214966689,-0.517581021616753,-0.529319678936628,0.0155096228867346,0.439994042299628,0.371300400794455,-0.359982280851966,0.0126112545793732,-0.294928749653063,0.156791921380979,0.292537934604497,0.402699003736883,0.614691977036896,0.336389796160866,-0.200268199345209,-0.545525482723029,-0.103842003326557,-0.298116395220728,-0.0659471013156662,0.124695157412161,-0.336403141354971,-0.040279807815279,0.353281083138329,0.157934192111378,-0.164558434625934,0.442985357725235,-0.193967377984509,0.241980302958951,0.663621151033916,-0.0302605210026455,0.048217957755382,0.174189699478983,0.452579748405734,-0.193210634436905,0.0623530965711662,0.115076093217982,-0.082847187560739,-0.221895196142445,0.26776325431202,-0.158589494083204,-0.058444817428525,-0.142296582611807,0.0647573113026314,0.0755697668574706,0.338010536217258,0.6439193954368,0.225752720493514,-0.040349775422494
"Coprococcus catus",-0.264627852399695,0.10611072487012,0,0.328053201299311,0.0214721484714741,-0.00756820149199401,-0.245729594406448,0.25591471572726,-0.543614586414553,0.516131535203676,-0.121101093744805,-0.376196289218183,-0.36388491522859,0.857871449134574,-0.14474357376556,0.164009685445895,-0.141345187402429,0.341971064853576,0.407498799416046,-0.366413761056982,-0.287229230340748,-0.53969424115012,-0.0903473870701969,0.577594834400754,0.444130578572034,-0.101369997436036,-0.584016564428371,-0.396015495150248,-0.452811426793906,-0.628155832487501,0.191017602570535,0.553114663764732,-0.45207892687718,-0.111886081070569,-0.545618218662341,0.0320603783599766,-0.0873850193728329,0.265742762478172,-0.413481907037212,0.261596720127994,0.14820311119164,0.58659709483681,0.235169776329138,-0.328040772428162,-0.0210580537784665,-0.583239201347075,0.699221350895256,-0.235423676240664,0.305841277010737,0.418714033082862,-0.421198614333806,-0.277379373591638,-0.160459477264319,0.00971272235567928,-0.483120661284361,0.0741274503434646,0.127650214751477,0.887159798482293,-0.024508661217613,0.0886792576977133,-0.280943639826403,0.0470564212535835,-0.391623438711917,-0.0148587344075973,-0.407546578592028
"Ruminococcus [Genus]",0.0823748648139206,0.274619721714175,0.328053201299311,0,-0.150712298369867,-0.264370220160376,0.166386418187867,-0.136705312140406,0.024732386980495,0.463306002630596,-0.299647857940267,-0.073473133908115,-0.083469527543598,-0.258704177959841,-0.382383146865409,-0.0857738498766544,-0.236861272591065,-0.0130685366182396,-0.190128105794853,-0.197049298550034,-0.439108782478148,-0.399764888014005,0.164484629210071,0.195065420532257,0.303079979726551,-0.0541922488818159,-0.13400910952504,-0.252673333187834,0.0522976237702978,-0.0257372943824008,-0.202379358096172,0.12059427621481,0.306101523211284,-0.23102740551381,-0.421092885664796,-0.0541467931195934,0.223372787747294,-0.160442718177253,0.0693909297682544,0.0331351247088803,0.00122579056301586,0.0895433970171395,-0.0279305052863993,0.134704255631558,0.307648114013306,0.281190106718103,-0.182089946474141,0.0661695990795983,0.320713133178074,0.00957350005616792,-0.00277246269363982,-0.0701479766856485,0.185314695273203,0.0286540781416952,0.374267063984682,0.24753400745211,0.116445838183148,0.168951713567378,-0.0109264758531029,0.0502546569852073,0.257852889623627,0.176785942003736,0.0708809857657209,0.280359745650456,0.165432011848918
"Ruminococcaceae [Family]",-0.0764049979662811,0.245092088663335,0.0214721484714741,-0.150712298369867,0,0.0768165030553309,-0.207276381041039,0.0137485425540158,-0.0786936887742646,0.400028982265555,-0.0512665976533528,-0.0622547111799197,0.0655279517612885,-0.152167144019625,-0.190545074204415,-0.18646919294571,0.0338379987599979,0.263936702636653,0.045106755374805,-0.455219794648908,0.114645703961669,-0.180958738002743,0.248327855395337,0.0529561272250282,0.271053282730747,-0.00973474923528958,0.249457135690024,-0.236247101646208,-0.222190139133213,-0.0707609552717096,-0.172844054562393,-0.0117091779355838,-0.220853073218507,-0.00200098934250939,-0.0259995497448869,0.155969435279508,0.498189101065435,-0.0566952753760174,-0.047070430093558,0.231567868621057,0.015618446055262,0.00995407549465524,-0.0569279852724226,-0.210833593443572,-0.289076901271005,-0.356202632297018,0.068131086449035,-0.0907423969848997,-0.0123024138856274,0.0405768440819412,-0.382523871590237,-0.022842169873259,-0.109251590672624,-0.0600695337387038,0.100702611866795,-0.00276051937599953,0.121575606358593,0.245936812468788,-0.00474355766342642,0.17039359823785,0.216204485595328,0.00548987970075668,-0.244702980077886,0.144696693517771,-0.0651187471160731
"Clostridiales [Order]",-0.256791350172079,0.238555055760243,-0.00756820149199401,-0.264370220160376,0.0768165030553309,0,-0.235670934123315,0.0316504208148966,-0.144701612749898,0.444419591152621,-0.053562960282324,-0.14314368196945,0.150960048922858,-0.022888644107245,-0.256767246077459,-0.192590759238408,-0.043596649565645,0.169094415068921,0.124320389620153,-0.405379044860842,-0.0475283436750199,-0.317578000816274,0.296283986511313,0.0736742845674624,0.300996093885349,0.0333673931277798,0.114662100402828,-0.536798656389177,-0.175494123620145,-0.300964604434635,-0.102915395789866,0.13371847483952,-0.284992384046139,-0.339016768675335,-0.172269984404525,-0.318976701686169,0.327831859464944,-0.116577439054402,0.104200195198311,0.122148262195183,0.0886884462780768,0.0826360512360179,0.0643067561678229,-0.173077800069639,-0.035076268254278,-0.268129733801306,0.0805686807735001,-0.177433478233028,0.120082022803708,0.114154745755518,-0.241657943159619,-0.0776698095030028,0.0303193935449752,0.0469135519394873,-0.0943952914878003,-0.098207428432342,0.0719853102048093,0.325462183303974,0.0677889966294198,-0.0920049749375296,0.106195454026605,0.109947443285329,-0.243711912196492,0.0833775208890135,-0.140779761807395
"Clostridium [Genus]",0.183150351994003,-0.093055380789344,-0.245729594406448,0.166386418187867,-0.207276381041039,-0.235670934123315,0,-0.107556464761031,-0.247347006368505,-0.134979317861762,-0.0433800140697362,-0.245455790602385,-0.250679749674365,-0.150019552342093,0.380776864037303,-0.159297485858464,-0.248118913509411,0.182271859576405,0.0810125731569872,-0.611794456625532,-0.2635366480415,-0.21489768045809,-0.355911361765789,0.0593773462005569,0.194288723398441,-0.0825323173150202,0.0305079074079912,-0.0599463554052884,0.0755043767096624,-0.274525079679449,-0.25100058467087,0.101836818648396,0.371247220785321,-0.218957047994409,-0.166608897335121,0.224378952390732,0.264862891577745,-0.165606450529409,0.260818908722358,-0.0653998030168854,-0.488023937110968,0.0935826928905896,-0.0990962616807184,-0.0488446997747801,-0.133517976663718,-0.0935548189149087,-0.514909892718852,0.215951052318714,0.52195988140583,-0.221389771028721,-0.23380970873003,0.186550137845701,0.204539497040574,0.16603465232751,-0.128542698306941,-0.103298286305049,-0.21210475311081,0.067664515386099,0.165071649876069,0.0462893256896365,0.268414129014829,0.54006181356783,0.138454701019832,0.097429578592799,0.14703839870778
"Oscillospira [Genus]",-0.0401008123177303,0.260571003373838,0.25591471572726,-0.136705312140406,0.0137485425540158,0.0316504208148966,-0.107556464761031,0,-0.243720424471663,0.346323495602437,-0.212031568757273,-0.148277171569144,0.058640626708446,0.0348372311842768,-0.256924426938596,-0.0499799145460502,-0.1913231181469,-0.0488692358094088,0.0509796918921685,-0.322764444552384,-0.010548296152534,-0.390712070987417,-0.0297810620483171,0.140053303343247,0.328316778279693,-0.261671396720317,0.102513802284758,-0.389620461243978,-0.184464091616525,-0.295821079898719,-0.0526219839977582,0.139420197546845,-0.107997037514262,0.0484508328560284,-0.144922906858615,-0.105998162175581,0.292946945398457,0.0116420031900502,-0.013680156192045,0.116501552096489,0.159228788377196,0.200740425358302,0.0936584365447142,-0.134981382860006,-0.122834497548049,-0.157676150514899,0.0728131180256669,-0.0204398874199029,0.00915681554506645,0.0362667156893337,-0.10092008667061,-0.1208319975601,-0.0848464401500517,0.0175226014144053,-0.0198558833671558,-0.216109572373703,0.147761099334749,-0.0252082010023696,0.0445728986712658,0.111160570058915,0.0931318712479258,0.0166978081871907,0.016965203558485,0.149030276101935,-0.084668952825494
"Lachnospiraceae [Family]",0.202016016420991,0.162998954362022,-0.543614586414553,0.024732386980495,-0.0786936887742646,-0.144701612749898,-0.247347006368505,-0.243720424471663,0,0.112097490689588,0.0167938626582237,0.0224783604158165,-0.0537343183114226,-0.135059409020441,0.113252992568739,-0.139841754835448,0.0666711050139344,-0.114172869232026,-0.121097986594977,-0.133136233324996,0.0449748433504199,0.114120433062861,0.0802179294992178,0.328493410467824,0.0800745498522643,0.214484298084635,-0.202102481076465,0.206558175049203,-0.234928629057635,0.195335011960193,-0.252860535239195,0.0108723232248955,-0.0225786863208047,-0.137675971066721,0.010850759891247,0.212670719239104,0.108228925490302,0.0545440387753182,-0.278226049308199,0.400524616413321,-0.123719675177106,0.165585326562348,0.268684184788502,0.0347468374608299,-0.0248921320539251,-0.247013230656961,0.379080151446398,0.160562848024218,0.141999350047757,0.213845984751848,0.158711887061986,0.131717753728608,0.148110491536517,0.113257076361528,-0.242935768623038,0.37866085113223,-0.184982882459651,0.0948726209332868,0.13424037849094,0.146865621896807,0.315530041318619,0.212798989777465,-0.0187887598131568,0.298062256511387,0.162602499945232
"Ruminococcus bicirculans",-0.0394857375511273,0.212673409652044,0.516131535203676,0.463306002630596,0.400028982265555,0.444419591152621,-0.134979317861762,0.346323495602437,0.112097490689588,0,0.0857141975416554,0.00726151571914373,0.00511223933045865,0.782573745956837,0.324231141879455,-0.0534254398983804,-0.045450481023863,0.354761040244301,-0.130816036118045,0.036890668221817,0.161457715023511,0.0834337466165672,-0.475651122366477,-0.0997166720865032,-0.109868934210142,0.3279830486744,0.139361039114533,0.334266862463605,0.292703610684158,-0.251584168062748,0.21920649451739,0.171835550266387,0.0943073130121926,0.659440616078489,0.17644718094828,0.156989319514913,-0.363548047160463,0.90070233651104,0.52586712123569,-0.485955612911665,-0.215957568006703,-0.153586616325519,-0.402067734610667,0.293481526740872,0.0916399517746795,0.0654288953057987,0.166256139915079,0.241219217543888,-0.615892627708176,0.151150776870164,0.309452340515279,-0.0171026562956886,-0.43886702467073,-0.377947188599512,0.281385913072697,-0.643046448764266,-0.237864787840467,0.285047218268807,-0.200771363298828,0.0612020939983899,-0.0139419917782931,-0.394053275841335,0.443534802315466,-0.265058770608696,-0.301471341386001
