Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	Description	Ontology	Definition
GO_none	-0.0255297307635722	0.122759763076766	0.169020624384756	0.0727424327942382	0.0788774799144724	0.110565903996859	-0.350960639930569	1.55633475118469	1.5286866771293	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	none	none	none
GO:0005524	-0.000725821335662962	0.0464470837168391	-0.00656888543510874	0.0760867905898104	0.0715542861026995	0.0930712842075717	-0.00953938692953839	0.649116723073376	-0.070579078080179	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0016020	0.00451477016811642	0.0543605067922729	0.0120580657774304	0.0700230243245129	0.0683402204455601	0.0902811146059503	0.0644755094723314	0.795439441632715	0.133561330407363	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0003677	-0.0013408497285834	0.087075661119286	0.0514263926322716	0.0731834456364779	0.0707092255586016	0.0915933731098946	-0.0183217627555248	1.23146110612003	0.561464120014116	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016887	-0.0259544904311486	0.0610506584029303	-0.0249515992481755	0.0814855087999634	0.0759009284855509	0.0987170579064082	-0.318516639502904	0.804346661115646	-0.252758740762226	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0055085	-0.00586905745561904	0.0749180521197892	0.00676085755336467	0.0734439051865604	0.0709287226725135	0.0967454007002348	-0.0799121103474904	1.05624420258764	0.0698829867304302	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0006355	-0.0239912466968507	0.104893239653949	0.0311977462286674	0.0791212354775024	0.0805178394086746	0.106603391829328	-0.303221335613148	1.30273291514387	0.292652472808885	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0003824	-0.0167763153509771	0.0496880740823217	0.0157345845318985	0.0683338748503767	0.0667589502560967	0.0901241415930972	-0.24550510837722	0.744290823802821	0.174587899021983	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0000166	0.0015684847298069	0.0186661424862982	-0.0114993588293333	0.0735975717547594	0.0706285725174853	0.0917435028329081	0.0213116369522813	0.264285993910992	-0.125342487197998	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
GO:0016491	-0.0149383406712349	0.0536600619596263	0.0283492770732041	0.0733054101852383	0.0709417935766061	0.100613410246118	-0.203782239721279	0.756395620328963	0.281764399038427	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	oxidoreductase activity	MF	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.
