"","s__Prevotella_copri","s__Bacteroides_fragilis","s__Phocaeicola_vulgatus","s__Prevotella_stercorea","s__Faecalibacterium_prausnitzii","s__Prevotella_hominis","s__Prevotella_sp._885","s__Prevotella_corporis","s__Prevotellamassilia_timonensis","s__Prevotella_disiens","s__Finegoldia_magna","s__Blautia_wexlerae","s__Bacteroides_caccae","s__Catenibacterium_mitsuokai","s__Escherichia_coli","s__Extibacter_muris","s__Roseburia_inulinivorans","s__Ruminococcus_gnavus","s__Prevotella_sp._Marseille_P4119","s__Prevotella_timonensis","s__Dorea_longicatena","s__Collinsella_aerofaciens","s__Mediterraneibacter_faecis","s__Prevotella_buccalis","s__Roseburia_faecis","s__Prevotella_bivia","s__Coprococcus_comes","s__Mitsuokella_jalaludinii","s__Ruminococcus_torques","s__Phocaeicola_massiliensis","s__Oscillibacter_sp._ER4","s__Tyzzerella_nexilis","s__Dorea_formicigenerans","s__Gemmiger_formicilis","s__Roseburia_intestinalis","s__Holdemanella_porci","s__Holdemanella_biformis","s__Peptostreptococcus_anaerobius","s__Ruminococcus_callidus","s__Dialister_invisus","s__Ruminococcus_bromii","s__Prevotella_ihumii","s__Fusicatenibacter_saccharivorans","s__Ligilactobacillus_ruminis","s__Veillonella_parvula","s__Anaerobutyricum_hallii","s__Sutterella_wadsworthensis","s__Anaerostipes_hadrus","s__Vescimonas_coprocola","s__Blautia_massiliensis","s__Streptococcus_mitis","s__Prevotella_pectinovora","s__Simiaoa_sunii","s__Oscillibacter_sp._MSJ_31","s__Oliverpabstia_intestinalis","s__Oscillibacter_valericigenes","s__Waltera_intestinalis","s__Blautia_faecicola","s__Vescimonas_fastidiosa","s__Faecalibacterium_sp._HTFF"
"s__Prevotella_copri",NA,NA,NA,0.155502901932191,NA,0.0459591087951431,NA,NA,0.207169457755314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025987235752299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Bacteroides_fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Phocaeicola_vulgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_stercorea",0.155502901932191,NA,NA,NA,NA,NA,0.026294187468038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349133273758336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0497321132362437,NA,NA,NA,NA,NA,NA,NA,NA
"s__Faecalibacterium_prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11993622552308,NA,NA,NA,0.0441117725403043,NA,NA,NA,NA,NA,0.114534214408132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181511894888075,NA,NA,NA,0.814050885557014,NA,NA,NA,NA,NA,NA,NA,NA,0.0271110580022392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_hominis",0.0459591087951431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0504881023139641,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_sp._885",NA,NA,NA,0.026294187468038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182867092562197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_corporis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742366824580863,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581239356296644,NA,0.0110328456433197,NA,0.163283255666864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotellamassilia_timonensis",0.207169457755314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0297604442130173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_disiens",NA,NA,NA,NA,NA,NA,NA,0.742366824580863,NA,NA,0.955752248251066,0.00423673658971336,NA,NA,NA,NA,NA,NA,NA,0.566118180230258,NA,NA,NA,NA,NA,0.313037538761084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0285974211837462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Finegoldia_magna",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955752248251066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861779061546463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Blautia_wexlerae",NA,NA,NA,NA,0.11993622552308,NA,NA,NA,NA,0.00423673658971336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215383902131618,NA,0.567195556133731,NA,NA,NA,0.248620481480931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251277398192132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164242826351999,NA,NA,NA,NA,NA,NA,NA,0.0133309720359437,NA,NA
"s__Bacteroides_caccae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Catenibacterium_mitsuokai",NA,NA,NA,NA,NA,NA,NA,NA,0.0297604442130173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296715212477352,0.0995685732661811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00964125361222046,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Escherichia_coli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287593281603708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Extibacter_muris",NA,NA,NA,NA,0.0441117725403043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00389383720780715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0521140106490982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Roseburia_inulinivorans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111188483248377,NA,NA,NA,NA,NA,NA,NA,0.559570841572949,NA,0.054613815097716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Ruminococcus_gnavus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_sp._Marseille_P4119",NA,NA,NA,0.349133273758336,NA,NA,0.182867092562197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246653545870146,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_timonensis",NA,NA,NA,NA,NA,NA,NA,0.581239356296644,NA,0.566118180230258,0.861779061546463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520235696024442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114875917833894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Dorea_longicatena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215383902131618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157844878160232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171685009335761,NA,NA,NA,NA,NA,NA,NA,0.304866337550867,NA,NA
"s__Collinsella_aerofaciens",NA,NA,NA,NA,0.114534214408132,NA,NA,0.0110328456433197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119251673369767,0.00389722753146149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Mediterraneibacter_faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567195556133731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0274589341607364,NA,NA,NA,NA,NA
"s__Prevotella_buccalis",NA,NA,NA,NA,NA,NA,NA,0.163283255666864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520235696024442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00530372946660302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Roseburia_faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287593281603708,0.00389383720780715,0.111188483248377,NA,NA,NA,NA,0.119251673369767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465089404202283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47874469575227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_bivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313037538761084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00389722753146149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040768579460408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013693880827435,NA,NA,NA,NA,NA,NA,NA,NA,NA
