Feature	lfc_(Intercept)	lfc_statussc	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_statussc	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_statussc	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_statussc	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_statussc	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_statussc	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_statussc	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes
s__Streptococcus_mitis	0.734532638252885	0.443268855600785	0.00145737109901054	0.249626006108653	-0.870741094166296	-1.68559594329684	-0.0476655643527619	0.424505306286065	0.2810250525383	0.00853351660078059	0.362999017092861	0.397389489834223	0.362739177291396	0.254930546459608	1.73032616406896	1.57732861037495	0.17078200783921	0.687676810003028	-2.19115280207723	-4.64685385207996	-0.186974707482982	0.0849679752196357	0.116150240750458	0.864551430455846	0.492377413826062	0.0294857338468004	5.7906214085936e-06	0.851851997399883	0.379102394377542	0.737428493922304	0.99516899037978	0.668184476994089	0.139586321950352	5.24562174660832e-05	0.997146935636328	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
s__Streptococcus_salivarius	-0.394928245599372	0.0357830855783507	0.00498777698648964	0.73125977939084	0.905833457335485	0.181108739778896	0.24816131340914	0.520214379350705	0.352365721772432	0.00973527172784734	0.462990794486544	0.506101201550421	0.449480270327629	0.326253764179425	-0.759164416201439	0.10155098344515	0.512340808343574	1.57942617455668	1.78982672746182	0.402929231236078	0.760638927901113	0.448563165381132	0.919205162297552	0.608924152950359	0.115668533840817	0.074850839756983	0.687389796010804	0.447683531230793	0.729478793349139	0.976259275819469	0.99516899037978	0.258888757551543	0.217491119293875	0.852640183934401	0.909021489372568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
s__Streptococcus_parasanguinis	-0.201228763086324	0.175894194553163	0.000327340250914931	0.613287528750591	0.688791568293735	0.439209734828772	0.122954908886387	0.406442924823385	0.287181976848708	0.00753755323711509	0.384889694868604	0.415744249395415	0.373515034936464	0.269033310546723	-0.495097222257629	0.61248340332244	0.0434279189303898	1.59341114331461	1.65676751824082	1.17588234407615	0.457024851816755	0.621023373918148	0.540847666201337	0.965399634527766	0.112497175159818	0.0989854724611624	0.240907047954998	0.648102091447959	0.843723441061026	0.860511856419617	0.99516899037978	0.258575596636	0.254062712650317	0.386455056094477	0.986471750549604	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
s__sp.	0.335208771598798	0.276482829584235	-0.00248093732675741	0.522295476797966	-0.0800835895393894	-0.627759577708899	0.155356823397665	0.338505553980895	0.21450551839666	0.00634666563357873	0.277517270756497	0.311750272828085	0.28962065588437	0.197456125176399	0.990260773144409	1.28893108042548	-0.390904054190495	1.88202873058753	-0.256883783333692	-2.16752349997968	0.78679161387815	0.323129630789152	0.1987695904359	0.696244733690751	0.0611463047709016	0.797507484447594	0.0312636091937574	0.432246758446998	0.662519542936627	0.737428493922304	0.99516899037978	0.170099860867772	0.89805802853195	0.0752280596224788	0.909021489372568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
s__Streptococcus_oralis	0.45532429731258	0.405002026050022	0.00365210909607445	0.497050722897805	-0.97643027287043	-1.39384784681436	0.0955454890416617	0.415039698000025	0.27205610325413	0.00778538194035557	0.367432213628841	0.392289968461347	0.365587005945168	0.245273422389254	1.09706203890056	1.4886709807488	0.469098256714128	1.35276849568747	-2.48905236272092	-3.81262961797776	0.389546849841843	0.273808196257811	0.137999600248802	0.639461838712366	0.177511958786037	0.0135460926819485	0.000178352487617315	0.69724678398211	0.614681577203019	0.737428493922304	0.99516899037978	0.341362318709452	0.102645538072368	0.000915542769768881	0.986471750549604	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
s__Rothia_mucilaginosa	0.117735478151462	0.0295810148241098	-0.00178420121905496	0.546760698839713	0.461549984080184	0.00250905765049003	0.112238049613406	0.399028628889264	0.266320415989706	0.00766677655157524	0.349689220450524	0.364399300084037	0.344213391132547	0.246235492906648	0.295055215660065	0.11107302725621	-0.232718562625693	1.56356177675506	1.26660502359291	0.00728925054959255	0.455815887013322	0.76822995568157	0.911659703090536	0.816196313376121	0.119357803806231	0.20663590614697	0.994190676497427	0.648971971319063	0.938947723610808	0.976259275819469	0.99516899037978	0.258888757551543	0.392863327736215	0.995944524107145	0.986471750549604	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
s__Neisseria_mucosa	0.160363664868116	0.385991352011628	0.0165529369813047	-0.207287372421834	-0.85466657331524	-2.08918219921999	0.359057114166446	0.586660154719173	0.3967686233831	0.0112613113904746	0.48127008406713	0.618199256034723	0.523693579344567	0.387209569753858	0.273350190187844	0.972837390014415	1.46989426074356	-0.430709032795232	-1.38250987035681	-3.989321774452	0.92729400875782	0.784855261881855	0.331764099429578	0.143101367092529	0.667125931816598	0.168297793747699	9.17829359435333e-05	0.354848643886636	0.941376937002241	0.802869548439771	0.99516899037978	0.787253857744851	0.343863874037629	0.00052350267167793	0.909021489372568	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
s__Haemophilus_parainfluenzae	0.429308465397258	0.205948956284855	0.0104648464274027	-0.236029003931543	-0.755982347531237	-1.50861244353988	0.0938979264736017	0.514911581186822	0.329041918529972	0.00903424701785317	0.45784229240961	0.504100777452212	0.445299916108738	0.303392326469031	0.833751815035395	0.625904921795231	1.15835292157968	-0.51552468578062	-1.49966510933005	-3.38785701269141	0.309493412593566	0.405333460607878	0.532032057106553	0.247987438404009	0.606708822805525	0.135147962346893	0.000835745807776888	0.757241840778753	0.729478793349139	0.860511856419617	0.99516899037978	0.747160388818189	0.3201967107911	0.00338696985256949	0.986471750549604	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Neisseria_sicca	0.436315907035618	0.194664685065025	0.00569026500569142	0.43248950742435	-0.910531395427095	-1.80145023628256	0.261233886068773	0.578950778295258	0.389407912028079	0.0105634078260742	0.510483653737872	0.576816740563703	0.537658467284668	0.384700407903635	0.753632127968402	0.499899152154331	0.538677015919604	0.847215193390755	-1.57854537047116	-3.35054750533439	0.679057990846243	0.451926497021264	0.617677066991018	0.590688548142563	0.397853647340603	0.115967278589244	0.000958494276448391	0.49785966387729	0.729478793349139	0.860511856419617	0.99516899037978	0.552136336556656	0.292769850864648	0.0036902029643263	0.958379852963783	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
s__sp._1	0.371417823168117	0.529381659567924	-0.000603686122435408	-0.0147720003757187	-0.345569022019765	-0.430479116206521	0.0117364328064622	0.331836955795897	0.21717523809487	0.00635503272469835	0.284767918871079	0.318195022514615	0.272266432113567	0.203140867075388	1.11927805713287	2.43757835475088	-0.0949933932030323	-0.0518738221435903	-1.08602899972734	-1.5810950797892	0.0577748484361181	0.264236557210009	0.0155762069848029	0.924406149149335	0.958676089739536	0.27864932891362	0.115286399387251	0.953980176456165	0.614681577203019	0.21806689778724	0.99516899037978	0.958676089739536	0.47679996280775	0.224735512729577	0.997146935636328	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
s__Streptococcus_infantis	-0.0408162052097971	0.0753950028333508	0.00128166943997368	0.583172780053273	0.0484111862273466	-0.0369038877171218	0.300934747491611	0.355150178680784	0.234853180639271	0.00673096323615971	0.294827241228491	0.342444026257666	0.299567166476865	0.216549649400727	-0.114926607559118	0.321030367262327	0.190413971226045	1.97801525267238	0.141369632743777	-0.123190695933534	1.38968014182617	0.908608118402597	0.748492135887511	0.84916033897193	0.0491749922428138	0.887707307646132	0.902068561389078	0.166030715277834	0.956886094703527	0.907620385249423	0.99516899037978	0.151458976107866	0.927750220793285	0.974680667387301	0.76992682540271	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Schaalia_odontolytica	-0.188741141249361	-0.0658633990456616	-0.00620831103171507	-0.226827878489731	1.22219248715607	1.74203928332267	0.121245637437945	0.438193226468158	0.305248272766533	0.00867521554189574	0.409463253291365	0.38825137130186	0.363000004975354	0.280562361052359	-0.430725830179111	-0.215769931959735	-0.715637669373504	-0.553963943446531	3.14794119865666	4.79900622436892	0.432152185286598	0.667101240212655	0.829372603415854	0.474995205768959	0.580181902110596	0.00187870889432807	2.99010844780347e-06	0.666065932592028	0.857979562189259	0.940085486738718	0.99516899037978	0.72938477843537	0.0482201949544205	3.77827344009843e-05	0.986471750549604	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
s__Prevotella_melaninogenica	-0.0918132564788319	0.518193781118659	-0.000600955663046865	-1.00239761307145	1.07348808976162	0.862387950360524	0.0417510277832676	0.518011200819721	0.336480157438023	0.00932046214708833	0.493764782017142	0.448563855478835	0.445410618585575	0.333915315509517	-0.177241836341652	1.54004261369887	-0.0644770241607173	-2.03011160289	2.39316671784821	1.93616387750046	0.125034779310917	0.859488459461378	0.125048286433579	0.94865144496289	0.0436002795502501	0.0175797348284263	0.0541834954441997	0.900615060906955	0.956886094703527	0.737428493922304	0.99516899037978	0.142860490441245	0.102645538072368	0.119203689977239	0.997146935636328	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
s__sp._2	0.496555279022257	0.238879006280949	-0.0033775771546553	0.235393752845232	0.317671929261795	-0.377404754089539	-0.214232978161692	0.384691976307949	0.252591434908928	0.00715526746796854	0.345456288114939	0.357399039062114	0.346413604255385	0.238194625294024	1.29078668026276	0.945713010289032	-0.472040656729529	0.681399531413111	0.888843825924742	-1.08946285438405	-0.899403073840334	0.198126337220948	0.345327815403626	0.637363513270018	0.496332118201492	0.375053448178679	0.277136360418774	0.369416932902649	0.536391348217147	0.805764902608461	0.99516899037978	0.668184476994089	0.582782848873476	0.431629048483638	0.909021489372568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
